date,ticker,actual,predicted,model
2022-01-14,AAPL,-0.0181369656038889,0.020135976,PatchTST-ICEEMDAN
2022-01-14,CAT,-0.12234239124648277,0.037163902,PatchTST-ICEEMDAN
2022-01-14,CVX,0.07495799769425861,-0.060937908,PatchTST-ICEEMDAN
2022-01-14,DUK,-0.041162077345555194,0.026532227,PatchTST-ICEEMDAN
2022-01-14,GS,-0.08142536479674628,0.02094366,PatchTST-ICEEMDAN
2022-01-14,HD,-0.0959928735613549,0.034354802,PatchTST-ICEEMDAN
2022-01-14,INTC,-0.13624037742319278,0.013295859,PatchTST-ICEEMDAN
2022-01-14,JNJ,-0.01890252273410636,0.019019194,PatchTST-ICEEMDAN
2022-01-14,JPM,-0.0982327446498761,0.043996543,PatchTST-ICEEMDAN
2022-01-14,KO,-0.0036190228410194003,0.022159519,PatchTST-ICEEMDAN
2022-01-14,MCD,-0.0311603264042982,0.010670682,PatchTST-ICEEMDAN
2022-01-14,MMM,-0.1359492682447998,0.023600645,PatchTST-ICEEMDAN
2022-01-14,MSFT,-0.032680639070352006,0.037044033,PatchTST-ICEEMDAN
2022-01-14,NEM,0.0482309361962326,0.004146156,PatchTST-ICEEMDAN
2022-01-14,PFE,-0.1015141472318392,0.01383427,PatchTST-ICEEMDAN
2022-01-14,PG,-0.004455649211596809,-0.014251169,PatchTST-ICEEMDAN
2022-01-14,UNH,0.014801358237817685,0.053291254,PatchTST-ICEEMDAN
2022-01-14,VZ,-0.004682000912773795,0.042012524,PatchTST-ICEEMDAN
2022-01-14,WFC,0.03698159414398581,0.007615569,PatchTST-ICEEMDAN
2022-01-14,XOM,0.12276457171560101,0.0018161568,PatchTST-ICEEMDAN
2022-02-15,AAPL,-0.056580199789069,0.021894243,PatchTST-ICEEMDAN
2022-02-15,CAT,0.0778814867824558,-0.015265459,PatchTST-ICEEMDAN
2022-02-15,CVX,0.15363341033638017,0.080155715,PatchTST-ICEEMDAN
2022-02-15,DUK,0.0684338884438894,-0.013282292,PatchTST-ICEEMDAN
2022-02-15,GS,-0.0497149725767021,0.008183449,PatchTST-ICEEMDAN
2022-02-15,HD,-0.05451702241840058,-0.017299855,PatchTST-ICEEMDAN
2022-02-15,INTC,-0.020168503560905694,-0.12450331,PatchTST-ICEEMDAN
2022-02-15,JNJ,0.0588628791353664,-0.023860447,PatchTST-ICEEMDAN
2022-02-15,JPM,-0.09695092912423683,-0.03415406,PatchTST-ICEEMDAN
2022-02-15,KO,-0.012684562688077296,0.03196155,PatchTST-ICEEMDAN
2022-02-15,MCD,-0.05652354083740092,-0.012038439,PatchTST-ICEEMDAN
2022-02-15,MMM,-0.0727933149174692,-0.085915096,PatchTST-ICEEMDAN
2022-02-15,MSFT,-3.95587488808552e-06,0.039941747,PatchTST-ICEEMDAN
2022-02-15,NEM,0.1278776733771188,0.111369245,PatchTST-ICEEMDAN
2022-02-15,PFE,0.06076632873847012,0.023570335,PatchTST-ICEEMDAN
2022-02-15,PG,-0.04555438886308861,0.026987007,PatchTST-ICEEMDAN
2022-02-15,UNH,0.05202595414900831,0.022555577,PatchTST-ICEEMDAN
2022-02-15,VZ,-0.014750750302838494,0.02325842,PatchTST-ICEEMDAN
2022-02-15,WFC,-0.11433176312609002,0.008619012,PatchTST-ICEEMDAN
2022-02-15,XOM,-0.026298900173770616,0.016016962,PatchTST-ICEEMDAN
2022-03-17,AAPL,0.03509327977349459,-0.04382841,PatchTST-ICEEMDAN
2022-03-17,CAT,0.0528634297164489,0.051048577,PatchTST-ICEEMDAN
2022-03-17,CVX,0.0843496337103463,0.046761923,PatchTST-ICEEMDAN
2022-03-17,DUK,0.08047078736473258,0.026253164,PatchTST-ICEEMDAN
2022-03-17,GS,-0.057745281538665594,-0.017769165,PatchTST-ICEEMDAN
2022-03-17,HD,-0.08310963468760929,0.0026403335,PatchTST-ICEEMDAN
2022-03-17,INTC,-0.020802524584671,-0.039915167,PatchTST-ICEEMDAN
2022-03-17,JNJ,0.030361707906716995,0.003546878,PatchTST-ICEEMDAN
2022-03-17,JPM,-0.08552920543174279,-0.035340246,PatchTST-ICEEMDAN
2022-03-17,KO,0.0893910645797869,0.024232082,PatchTST-ICEEMDAN
2022-03-17,MCD,0.050640125004839706,-0.011487738,PatchTST-ICEEMDAN
2022-03-17,MMM,0.012769485855548096,-0.094714515,PatchTST-ICEEMDAN
2022-03-17,MSFT,-0.0507232077026962,0.03193394,PatchTST-ICEEMDAN
2022-03-17,NEM,0.1548389095198235,0.055914436,PatchTST-ICEEMDAN
2022-03-17,PFE,0.003772115266717904,0.06483841,PatchTST-ICEEMDAN
2022-03-17,PG,0.05716240026984022,0.042436052,PatchTST-ICEEMDAN
2022-03-17,UNH,0.0708082458060563,0.061176296,PatchTST-ICEEMDAN
2022-03-17,VZ,0.03731139445429031,-0.017621994,PatchTST-ICEEMDAN
2022-03-17,WFC,-0.10730033618159841,0.049592152,PatchTST-ICEEMDAN
2022-03-17,XOM,0.13250730772218514,0.10652005,PatchTST-ICEEMDAN
2022-04-18,AAPL,-0.1257822077456742,0.054401703,PatchTST-ICEEMDAN
2022-04-18,CAT,-0.0900915592312192,0.07888593,PatchTST-ICEEMDAN
2022-04-18,CVX,0.008241454603683009,0.017202556,PatchTST-ICEEMDAN
2022-04-18,DUK,-0.0338716385188911,0.0057224855,PatchTST-ICEEMDAN
2022-04-18,GS,-0.058248938619277185,0.035462826,PatchTST-ICEEMDAN
2022-04-18,HD,-0.028411320087262406,-0.028974483,PatchTST-ICEEMDAN
2022-04-18,INTC,-0.05050895382975101,-0.085726984,PatchTST-ICEEMDAN
2022-04-18,JNJ,-0.0101681545061519,-0.021226203,PatchTST-ICEEMDAN
2022-04-18,JPM,-0.0643483240590098,-0.035447214,PatchTST-ICEEMDAN
2022-04-18,KO,0.014353609233300098,-0.016524613,PatchTST-ICEEMDAN
2022-04-18,MCD,-0.0261667537502215,0.004065873,PatchTST-ICEEMDAN
2022-04-18,MMM,0.020949017868956792,-0.086624965,PatchTST-ICEEMDAN
2022-04-18,MSFT,-0.0677480809547391,-0.005461784,PatchTST-ICEEMDAN
2022-04-18,NEM,-0.25865521286157284,0.07602328,PatchTST-ICEEMDAN
2022-04-18,PFE,-0.039097485739047394,0.106396906,PatchTST-ICEEMDAN
2022-04-18,PG,-0.01640287142064971,-0.01368457,PatchTST-ICEEMDAN
2022-04-18,UNH,-0.08911792347749033,0.03106656,PatchTST-ICEEMDAN
2022-04-18,VZ,-0.0931946536715546,0.0134242745,PatchTST-ICEEMDAN
2022-04-18,WFC,-0.08811224871636339,-0.09859625,PatchTST-ICEEMDAN
2022-04-18,XOM,0.04509800966458791,0.018992327,PatchTST-ICEEMDAN
2022-05-17,AAPL,-0.07199617365996511,-0.06714054,PatchTST-ICEEMDAN
2022-05-17,CAT,-0.005760099587275098,-0.1349821,PatchTST-ICEEMDAN
2022-05-17,CVX,-0.04370560303076611,0.05077967,PatchTST-ICEEMDAN
2022-05-17,DUK,-0.0937846494323489,0.0051654144,PatchTST-ICEEMDAN
2022-05-17,GS,-0.038956368355795995,0.0024233374,PatchTST-ICEEMDAN
2022-05-17,HD,-0.05020490639432551,-0.0227553,PatchTST-ICEEMDAN
2022-05-17,INTC,-0.10851214640572991,-0.054301705,PatchTST-ICEEMDAN
2022-05-17,JNJ,-0.04008786820592201,0.03851973,PatchTST-ICEEMDAN
2022-05-17,JPM,-0.024394657959410003,-0.088624805,PatchTST-ICEEMDAN
2022-05-17,KO,-0.09302010705846299,0.0074965768,PatchTST-ICEEMDAN
2022-05-17,MCD,-0.015760111785484206,0.0036551817,PatchTST-ICEEMDAN
2022-05-17,MMM,-0.1036086912814103,0.012460608,PatchTST-ICEEMDAN
2022-05-17,MSFT,-0.035631609881209406,0.010458207,PatchTST-ICEEMDAN
2022-05-17,NEM,-0.035104803193977394,-0.055667005,PatchTST-ICEEMDAN
2022-05-17,PFE,-0.0435641259115558,-0.009244822,PatchTST-ICEEMDAN
2022-05-17,PG,-0.15754065610484477,0.00096402096,PatchTST-ICEEMDAN
2022-05-17,UNH,-0.0522169853065457,-0.009492368,PatchTST-ICEEMDAN
2022-05-17,VZ,0.002240387034159504,-0.034926396,PatchTST-ICEEMDAN
2022-05-17,WFC,-0.10060751594867559,-0.06843261,PatchTST-ICEEMDAN
2022-05-17,XOM,0.04240838238509201,-0.16217394,PatchTST-ICEEMDAN
2022-06-16,AAPL,0.0824537172844862,0.011342097,PatchTST-ICEEMDAN
2022-06-16,CAT,-0.171756230018245,-0.09922741,PatchTST-ICEEMDAN
2022-06-16,CVX,-0.16281285129333758,0.0022846893,PatchTST-ICEEMDAN
2022-06-16,DUK,0.05107862559641131,0.0052409577,PatchTST-ICEEMDAN
2022-06-16,GS,0.03785168653195122,-0.1242691,PatchTST-ICEEMDAN
2022-06-16,HD,0.046518156757912606,0.033936135,PatchTST-ICEEMDAN
2022-06-16,INTC,0.0015511790262418973,-0.11572854,PatchTST-ICEEMDAN
2022-06-16,JNJ,0.02463667924059101,0.0033618337,PatchTST-ICEEMDAN
2022-06-16,JPM,-0.02306210371860909,0.036663134,PatchTST-ICEEMDAN
2022-06-16,KO,0.032643890143876086,-0.00019676331,PatchTST-ICEEMDAN
2022-06-16,MCD,0.05504916997807971,0.0185375,PatchTST-ICEEMDAN
2022-06-16,MMM,-0.04118494500177999,-0.08004559,PatchTST-ICEEMDAN
2022-06-16,MSFT,0.0098418026369173,0.037398487,PatchTST-ICEEMDAN
2022-06-16,NEM,-0.1341696853600831,-0.015586164,PatchTST-ICEEMDAN
2022-06-16,PFE,0.04514174046621609,-0.034654073,PatchTST-ICEEMDAN
2022-06-16,PG,0.0783517037068967,-0.08168795,PatchTST-ICEEMDAN
2022-06-16,UNH,0.11558105294557859,-0.08697478,PatchTST-ICEEMDAN
2022-06-16,VZ,0.0352331474115126,0.07553596,PatchTST-ICEEMDAN
2022-06-16,WFC,0.07614584259881971,-0.04864402,PatchTST-ICEEMDAN
2022-06-16,XOM,-0.097208688737878,-0.020447658,PatchTST-ICEEMDAN
2022-07-19,AAPL,0.1639445112790116,-0.017226746,PatchTST-ICEEMDAN
2022-07-19,CAT,0.13666075714975148,0.022265695,PatchTST-ICEEMDAN
2022-07-19,CVX,0.11384297263969738,0.019704904,PatchTST-ICEEMDAN
2022-07-19,DUK,0.0706068529584584,-0.011275269,PatchTST-ICEEMDAN
2022-07-19,GS,0.1640594521098158,0.046462536,PatchTST-ICEEMDAN
2022-07-19,HD,0.11077834398067832,0.030027952,PatchTST-ICEEMDAN
2022-07-19,INTC,-0.057270347299978284,-0.08879613,PatchTST-ICEEMDAN
2022-07-19,JNJ,-0.0389750574333102,-0.030856114,PatchTST-ICEEMDAN
2022-07-19,JPM,0.1006709996952526,-0.043638185,PatchTST-ICEEMDAN
2022-07-19,KO,0.053375389492690606,-0.052175052,PatchTST-ICEEMDAN
2022-07-19,MCD,0.05349174026905909,-0.005187521,PatchTST-ICEEMDAN
2022-07-19,MMM,0.1532526875087198,0.009595061,PatchTST-ICEEMDAN
2022-07-19,MSFT,0.1408641791806618,-0.0412444,PatchTST-ICEEMDAN
2022-07-19,NEM,-0.1741448802230453,-0.23558356,PatchTST-ICEEMDAN
2022-07-19,PFE,-0.009963139640758699,0.0016092858,PatchTST-ICEEMDAN
2022-07-19,PG,0.051629393605340995,-0.077949725,PatchTST-ICEEMDAN
2022-07-19,UNH,0.05022228477893109,0.020670082,PatchTST-ICEEMDAN
2022-07-19,VZ,-0.09332307902225412,0.02407604,PatchTST-ICEEMDAN
2022-07-19,WFC,0.11860818518805649,-0.033980962,PatchTST-ICEEMDAN
2022-07-19,XOM,0.07006128559342549,0.07066748,PatchTST-ICEEMDAN
2022-08-17,AAPL,-0.1271532150220507,0.04785059,PatchTST-ICEEMDAN
2022-08-17,CAT,-0.0791444206690303,0.08952853,PatchTST-ICEEMDAN
2022-08-17,CVX,0.0356056595699584,0.055613346,PatchTST-ICEEMDAN
2022-08-17,DUK,-0.0534034488989873,0.0050253207,PatchTST-ICEEMDAN
2022-08-17,GS,-0.06052193655806219,0.06229276,PatchTST-ICEEMDAN
2022-08-17,HD,-0.1805088146474439,-0.005314585,PatchTST-ICEEMDAN
2022-08-17,INTC,-0.2270195333604973,-0.08374706,PatchTST-ICEEMDAN
2022-08-17,JNJ,-0.008274608500975413,-0.021864494,PatchTST-ICEEMDAN
2022-08-17,JPM,-0.047710805375450485,-0.0024576995,PatchTST-ICEEMDAN
2022-08-17,KO,-0.0811039434293046,0.036867898,PatchTST-ICEEMDAN
2022-08-17,MCD,-0.0438817325012641,0.010721443,PatchTST-ICEEMDAN
2022-08-17,MMM,-0.24495273500751055,-0.02605728,PatchTST-ICEEMDAN
2022-08-17,MSFT,-0.1742538954197534,0.034635328,PatchTST-ICEEMDAN
2022-08-17,NEM,-0.06930571030499569,-0.07978795,PatchTST-ICEEMDAN
2022-08-17,PFE,-0.08188280497851971,0.057432882,PatchTST-ICEEMDAN
2022-08-17,PG,-0.0869811626712678,0.004527267,PatchTST-ICEEMDAN
2022-08-17,UNH,-0.040296579130498306,0.018173113,PatchTST-ICEEMDAN
2022-08-17,VZ,-0.10998072059400141,0.0060190214,PatchTST-ICEEMDAN
2022-08-17,WFC,-0.0425786248496709,0.15838613,PatchTST-ICEEMDAN
2022-08-17,XOM,0.0361842862167316,0.04907109,PatchTST-ICEEMDAN
2022-09-16,AAPL,-0.09630806873801831,-0.11133451,PatchTST-ICEEMDAN
2022-09-16,CAT,-0.0238449346230384,0.019372975,PatchTST-ICEEMDAN
2022-09-16,CVX,-0.0029927374716805025,0.0581475,PatchTST-ICEEMDAN
2022-09-16,DUK,-0.20224014166681326,0.0074786367,PatchTST-ICEEMDAN
